#encoding UTF-8
#Ref|Единств.число|Множ.число|Название группы ед.ч.|Название группы множ.ч.
A|Дисплей|Дисплеи|Единица сборочная|Единицы сборочные
A|Заделка кабельная|Заделки кабельные|Единица сборочная|Единицы сборочные
#
B|Резонатор пьезоэлектрический|Резонаторы пьезоэлектрические|Преобразователь|Преобразователи
B|Резонатор кварцевый|Резонаторы кварцевые|Преобразователь|Преобразователи
B|Резонатор|Резонаторы|Преобразователь|Преобразователи
B|Микрофон|Микрофоны|Преобразователь|Преобразователи
B|Излучатель звука электромагнитный|Излучатели звука электромагнитные|Преобразователь|Преобразователи
B|Излучатель звука пьезоэлектрический|Излучатели звука пьезоэлектрические|Преобразователь|Преобразователи
B|Громкоговоритель|Громкоговорители|Преобразователь|Преобразователи
#
C|Ионистор|Ионисторы|Конденсатор|Конденсаторы
C|Конденсатор танталовый|Конденсаторы танталовые|Конденсатор|Конденсаторы
C|Конденсатор электролитический|Конденсаторы электролитические|Конденсатор|Конденсаторы
C|Конденсатор|Конденсаторы|Конденсатор|Конденсаторы
#
D|Микросхема|Микросхемы|Микросхема|Микросхемы
D|Генератор|Генераторы|Микросхема|Микросхемы
D|Набор диодов|Наборы диодов|Микросхема|Микросхемы
D|Приёмник навигационный|Приёмники навигационные|Микросхема|Микросхемы
#
G|Элемент питания|Элементы питания|Источник питания|Источники питания
G|Аккумулятор литий-ионный|Аккумуляторы литий-ионные|Источник питания|Источники питания
G|Аккумулятор литий-полимерный|Аккумуляторы литий-полимерные|Источник питания|Источники питания
#
H|Светодиод|Светодиоды|Устройство индикационное|Устройства индикационные
#
L|Набор дросселей|Наборы дросселей|Индуктивность|Индуктивности
L|Дроссель|Дроссели|Индуктивоность|Индуктивности|Индуктивности
L|Индуктивность|Индуктивности|Индуктивность|Индуктивности
#
R|Терморезистор|Терморезисторы|Резистор|Резисторы
R|Резистор|Резисторы|Резистор|Резисторы
#
S|Кнопка|Кнопки|Устройство коммутационное|Устройства коммутационные
#
T|Трансформатор|Трансформаторы|Трансформатор|Трансформаторы
#
VD|Стабилитрон|Стабилитроны|Диод|Диоды
VD|Диод Шоттки|Диоды Шоттки|Диод|Диоды
VD|Фотодиод|Фотодиоды|Диод|Диоды
VD|Диод|Диоды|Диод|Диоды
#
VT|Транзистор биполярный|Транзисторы биполярные|Транзистор|Транзисторы
VT|Транзистор полевой|Транзисторы полевые|Транзистор|Транзисторы
VT|Транзистор|Транзисторы|Транзистор|Транзисторы
#
W|Антенна|Антенны|Антенна|Антенны
#
X|Соединитель|Соединители|Соединение контактное|Соединения контактные
#
Z|Фильтр|Фильтры|Фильтр|Фильтры
#
#
#
#
COMPO|Клавиатура|Клавиатуры|Прочее изделие|Прочие изделия
COMPO|Колпачок|Колпачки|Прочее изделие|Прочие изделия
COMPO|Держатель вставки плавкой|Держатели вставок плавких|Прочее изделие|Прочие изделия
COMPO|Контакт|Контакты|Прочее изделие|Прочие изделия

