"B1";"";"–езонатор кварцевый HC49S-20-L-30-30-F-22,1184M√ц";"Vanlong"
"C1";"(GRM188-X7R-50¬-0,01 мк‘±20%)";"GRM188R71H103Mxx";"Murata"
"C2";"(GRM188-X7R-50¬-0,01 мк‘±20%)";"GRM188R71H103Mxx";"Murata"
"C3";"(GRM21B-X5R-6,3B-10 мк‘±10%)";"GRM21BR60J106Kxx";"Murata"
"C4";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"C5";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"C6";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"C7";"(GRM188-X7R-50¬-6800 п‘±20%)";"GRM188R71H682Mxx";"Murata"
"C8";"(GRM188-X7R-50¬-6800 п‘±20%)";"GRM188R71H682Mxx";"Murata"
"C9";"(B45196H-25B-33 мк‘-±10%-D)";"B45196H5336K409";"Epcos"
"C10";"(B45196H-25B-33 мк‘-±10%-D)";"B45196H5336K409";"Epcos"
"C11";"(B45196H-25B-33 мк‘-±10%-D)";"B45196H5336K409";"Epcos"
"C12";"(B45196H-25B-33 мк‘-±10%-D)";"B45196H5336K409";"Epcos"
"C13";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"C14";"(GRM188-X7R-50¬-2200 п‘±20%)";"GRM188R71H222Mxx";"Murata"
"C15";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"C16";"(GRM188-X7R-50¬-2200 п‘±20%)";"GRM188R71H222Mxx";"Murata"
"C17";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"C18";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"C19";"(GRM21B-X5R-6,3B-10 мк‘±10%)";"GRM21BR60J106Kxx";"Murata"
"C20";"(GRM21B-X5R-6,3B-10 мк‘±10%)";"GRM21BR60J106Kxx";"Murata"
"C21";"(B45196H-10B-100 мк‘-±10%-C)";"B45196H1107K309";"Epcos"
"C22";"(B45196H-10B-100 мк‘-±10%-C)";"B45196H1107K309";"Epcos"
"C23";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"C24";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"C25";"(GRM188-X7R-16¬-0,1 мк‘±20%)";"GRM188R71C104Mxx";"Murata"
"C26";"(GRM188-P2H-50¬-33п‘±5%)";"GRM1886P1H330Jxx";"Murata"
